ID;Iconography ;Motif represented;Technique ;Narrow juxtaposition;With overlap;Number of overlaps;Type of overlap;Phases involved;Cultural attribution;Decorative phase
PM.I.172;Hand;Negative hand;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.173;Dot;Dot;Paint;Yes;;;;;Gravetian ;2
PM.I.174;Line;Straight;Paint;Yes;;;;;Gravetian ;2
PM.I.175;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.176;Zoomorph;Indeterminate;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.177;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.178;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.179;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.180;Non figurative;Stain;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.181;Non figurative;Stain;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.182;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.183;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.184;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.185;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.186;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.187;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.188;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.189;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.190;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.191;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.192;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.193;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.194;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.195;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.196;Line;Straight;Paint;Yes;;;;;Gravetian ;2
PM.I.197;Non figurative;Stain;Paint;Yes;;;;;Gravetto-solutrean ;3
